File Size (MB),No of Tags,XML Depth,No of Attributes,No of Elements,CPU Cores,Memory Usage (MB),Efficient_Algo_Label
0.12,718,2,6,1804,2,50,0
0.12,100,4,12,923,2,50,0
0.12,299,19,24,8815,1,131,2
0.13,182,22,16,849,1,83,1
0.14,490,3,15,1503,1,50,0
0.14,532,11,40,1321,1,133,1
0.15,100,19,18,460,2,197,1
0.15,999,14,35,1293,2,50,1
0.15,936,3,27,1541,2,50,0
0.16,950,14,35,1424,2,50,2
0.16,255,30,42,627,1,79,1
0.16,100,15,32,6116,12,71,3
0.16,100,14,19,273,1,234,1
0.17,100,18,33,3958,14,50,3
0.17,100,22,37,6538,2,114,2
0.18,100,20,44,1106,1,50,2
0.18,956,13,11,7829,2,139,2
0.18,505,18,21,566,2,54,1
0.19,100,9,53,5313,4,152,3
0.19,100,25,14,1461,4,50,3
0.19,538,8,13,1442,1,242,0
0.19,100,12,36,914,1,52,1
0.21,537,9,26,239,1,205,0
0.21,824,2,7,1222,1,50,0
0.23,100,13,24,681,2,67,1
0.24,486,8,39,5166,8,50,3
0.26,100,24,45,1260,2,50,1
0.26,100,12,26,6462,4,160,3
0.26,334,26,33,129,2,125,1
0.27,909,14,24,1131,1,171,1
0.28,100,3,21,1316,2,304,0
0.28,100,7,26,1095,1,89,0
0.29,100,28,41,230,1,57,1
0.3,100,4,35,4106,4,66,3
0.3,706,15,56,4217,6,50,3
0.31,100,17,31,725,2,50,2
0.31,974,3,24,4864,14,50,3
0.31,832,6,14,1016,1,50,0
0.31,100,18,29,3002,1,184,2
0.32,112,10,22,1038,1,50,0
0.33,100,21,21,9184,16,50,3
0.33,100,29,22,1305,1,65,1
0.33,100,3,10,1019,2,50,0
0.33,526,14,42,740,2,303,1
0.34,1037,7,36,7149,12,50,3
0.34,237,10,21,1071,1,102,1
0.35,100,6,26,796,1,194,0
0.35,100,7,17,491,2,50,0
0.35,100,2,24,2957,12,143,3
0.35,100,13,30,130,2,85,1
0.36,416,14,3,9443,14,50,3
0.36,851,9,9,1648,2,50,0
0.37,284,2,13,4201,10,50,3
0.37,175,8,2,519,2,50,0
0.38,922,25,35,404,2,50,1
0.38,100,2,4,1335,2,50,0
0.38,100,14,38,654,1,54,1
0.39,100,4,19,1870,2,242,0
0.39,100,12,7,4428,6,245,3
0.41,941,2,12,1439,1,50,0
0.41,115,10,9,1769,1,132,0
0.42,733,16,43,1471,2,50,1
0.42,100,16,39,4562,10,290,3
0.42,906,15,22,181,1,220,1
0.43,112,20,31,8997,8,258,3
0.43,100,16,3,8563,4,294,3
0.44,100,30,45,519,2,235,1
0.44,100,10,15,463,1,281,0
0.46,100,10,4,1720,1,50,0
0.46,100,8,27,1482,1,292,0
0.46,239,9,12,742,2,50,0
0.46,847,7,53,8485,4,135,3
0.47,100,21,17,919,1,59,1
0.47,429,19,41,270,16,116,3
0.48,820,5,12,2173,6,50,3
0.48,532,13,36,1297,2,50,1
0.49,437,22,38,6870,1,86,2
0.49,401,30,52,8893,12,240,3
0.49,100,10,4,983,1,50,0
0.5,174,9,19,1609,1,315,0
0.5,626,30,8,7125,12,50,3
0.52,100,26,37,4714,14,226,3
0.52,812,23,40,8221,10,72,3
0.52,100,5,8,1705,12,50,3
0.52,100,15,36,313,2,226,1
0.52,100,3,3,371,2,90,0
0.53,100,25,35,254,2,50,1
0.54,100,4,19,1905,2,71,0
0.54,636,5,18,988,2,50,0
0.54,100,11,35,210,2,50,1
0.54,1043,7,24,1265,2,51,0
0.54,100,5,9,8665,16,158,3
0.54,100,10,18,946,1,50,1
0.55,100,28,43,168,10,50,3
0.55,477,9,1,1613,2,110,0
0.55,417,3,10,415,1,50,0
0.55,105,3,11,212,2,246,0
0.56,100,17,29,1452,1,82,1
0.57,694,5,18,1124,2,50,0
0.59,942,11,36,1436,1,50,1
0.6,538,9,23,1404,1,50,0
0.6,100,24,22,4994,2,306,2
0.61,861,9,26,1213,2,59,0
0.61,100,29,45,2233,4,50,3
0.62,100,9,9,302,4,50,3
0.62,872,15,21,962,1,50,1
0.63,100,26,25,386,2,50,1
0.63,100,6,15,1697,1,208,0
0.63,241,30,20,749,2,165,1
0.63,100,7,26,1527,2,50,0
0.64,640,7,19,737,1,50,0
0.64,100,27,45,417,1,50,1
0.64,100,27,34,675,1,305,1
0.65,934,27,3,6773,10,297,3
0.65,851,28,24,1382,2,139,1
0.65,100,6,28,1748,2,50,0
0.65,100,19,27,1047,6,303,3
0.66,100,27,30,668,1,77,1
0.66,100,2,24,287,1,50,0
0.66,100,11,47,5221,4,50,3
0.66,371,22,47,3474,8,150,3
0.67,535,3,9,839,2,138,0
0.67,100,6,9,1499,1,160,0
0.69,100,9,13,736,2,122,0
0.69,160,9,16,1450,2,89,0
0.69,100,10,20,1335,2,50,0
0.69,100,24,45,1036,1,309,1
0.69,100,5,12,533,1,124,0
0.7,615,26,37,1189,1,219,1
0.71,100,10,1,428,1,159,0
0.71,100,7,11,257,6,50,3
0.72,100,26,9,7449,8,50,3
0.72,100,14,45,1207,1,253,1
0.72,151,29,16,602,10,50,3
0.72,996,30,32,5205,10,50,3
0.73,991,19,32,484,1,50,1
0.74,799,5,10,1025,2,50,0
0.74,100,24,19,1630,16,50,3
